"Neighborhood","Id","EstimateTotal","EstimateIncomeinthepast12monthsbelowpovertylevel","PercentBelowPoverty"
"Allegheny Center",1,1130,516,45.6637168141593
"Allegheny West",2,331,45,13.595166163142
"Allentown",3,2624,750,28.5823170731707
"Arlington",4,1890,343,18.1481481481481
"Arlington Heights",5,380,278,73.1578947368421
"Banksville",6,3944,252,6.3894523326572
"Bedford Dwellings",7,1169,815,69.7177074422583
"Beechview",8,8081,1473,18.2279420863754
"Beltzhoover",9,1885,554,29.3899204244032
"Bloomfield",10,8702,1760,20.225235578028
"Bluff",11,630,215,34.1269841269841
"Bon Air",12,832,140,16.8269230769231
"Brighton Heights",13,7249,945,13.0362808663264
"Brookline",14,13191,1361,10.3176408157077
"California-Kirkbride",15,786,305,38.8040712468193
"Carrick",16,10045,1993,19.8407167745147
"Central Business District",17,2655,533,20.075329566855
"Central Lawrenceville",18,4356,664,15.2433425160698
"Central Northside",19,2891,908,31.4078173642338
"Central Oakland",20,5064,3505,69.2140600315956
"Chartiers City",21,414,62,14.975845410628
"Chateau",22,0,0,0
"Crafton Heights",23,3732,804,21.5434083601286
"Crawford-Roberts",24,2146,930,43.336439888164
"Duquesne Heights",25,2555,405,15.8512720156556
"East Allegheny",26,2230,773,34.6636771300448
"East Carnegie",27,525,59,11.2380952380952
"East Hills",28,2942,1484,50.4418762746431
"East Liberty",29,5353,1368,25.5557631234822
"Elliott",30,2452,668,27.2430668841762
"Esplen",31,273,62,22.7106227106227
"Fairywood",32,1208,285,23.5927152317881
"Fineview",33,1313,381,29.017517136329
"Friendship",34,1751,339,19.3603655054255
"Garfield",35,3715,1417,38.14266487214
"Glen Hazel",36,487,213,43.7371663244353
"Greenfield",37,7465,682,9.13596784996651
"Hays",38,360,106,29.4444444444444
"Hazelwood",39,4300,1303,30.3023255813954
"Highland Park",40,6900,889,12.8840579710145
"Homewood North",41,3221,1266,39.3045638000621
"Homewood South",42,2354,956,40.6117247238743
"Homewood West",43,812,164,20.1970443349754
"Knoxville",44,4162,1526,36.6650648726574
"Larimer",45,1504,595,39.561170212766
"Lincoln Place",46,3465,293,8.45598845598846
"Lincoln-Lemington-Belmar",47,4236,1127,26.6052880075543
"Lower Lawrenceville",48,2490,693,27.8313253012048
"Manchester",49,1838,399,21.7083786724701
"Marshall-Shadeland",50,4130,914,22.1307506053269
"Middle Hill",51,1675,545,32.5373134328358
"Morningside",52,3326,349,10.4930847865304
"Mount Oliver Borough",53,3397,1186,34.9131586694142
"Mount Washington",54,8736,1537,17.5938644688645
"Mt. Oliver",55,528,123,23.2954545454545
"New Homestead",56,933,42,4.5016077170418
"North Oakland",57,5326,2391,44.8929778445362
"North Shore",58,187,8,4.27807486631016
"Northview Heights",59,1380,1116,80.8695652173913
"Oakwood",60,1087,218,20.0551977920883
"Overbrook",61,3659,458,12.5170811697185
"Perry North",62,4062,645,15.8788774002954
"Perry South",63,3295,1195,36.2670713201821
"Point Breeze",64,5333,442,8.28801800112507
"Point Breeze North",65,1763,254,14.4072603516733
"Polish Hill",66,1453,161,11.0805230557467
"Regent Square",67,1009,67,6.6402378592666
"Ridgemont",68,277,47,16.9675090252708
"Shadyside",69,12778,2579,20.1831272499609
"Sheraden",70,4984,1128,22.6324237560193
"South Oakland",71,2991,1397,46.7067870277499
"South Shore",72,12,0,0
"South Side Flats",73,6726,1732,25.7508177222718
"South Side Slopes",74,4664,1264,27.1012006861063
"Spring Garden",75,777,108,13.8996138996139
"Spring Hill-City View",76,2381,786,33.0113397732045
"Squirrel Hill North",77,8281,1138,13.7423016543896
"Squirrel Hill South",78,14915,2242,15.031847133758
"St. Clair",79,301,74,24.5847176079734
"Stanton Heights",80,5010,835,16.6666666666667
"Strip District",81,689,33,4.78955007256894
"Summer Hill",82,1168,81,6.93493150684932
"Swisshelm Park",83,1286,51,3.96578538102644
"Terrace Village",84,1632,948,58.0882352941177
"Troy Hill",85,2401,332,13.8275718450646
"Upper Hill",86,1929,528,27.3716951788491
"Upper Lawrenceville",87,2813,687,24.4223249200142
"West End",88,275,53,19.2727272727273
"West Oakland",89,1317,623,47.3044798785118
"Westwood",90,3550,558,15.7183098591549
"Windgap",91,1617,147,9.09090909090909
