"Neighborhood","Id","EstimateTotal","MarginofErrorTotal","EstimateTotalLessthan10000","MarginofErrorTotalLessthan10000","EstimateTotal10000to14999","MarginofErrorTotal10000to14999","EstimateTotal15000to19999","MarginofErrorTotal15000to19999","EstimateTotal20000to24999","MarginofErrorTotal20000to24999","EstimateTotal25000to29999","MarginofErrorTotal25000to29999","EstimateTotal30000to34999","MarginofErrorTotal30000to34999","EstimateTotal35000to39999","MarginofErrorTotal35000to39999","EstimateTotal40000to44999","MarginofErrorTotal40000to44999","EstimateTotal45000to49999","MarginofErrorTotal45000to49999","EstimateTotal50000to59999","MarginofErrorTotal50000to59999","EstimateTotal60000to74999","MarginofErrorTotal60000to74999","EstimateTotal75000to99999","MarginofErrorTotal75000to99999","EstimateTotal100000to124999","MarginofErrorTotal100000to124999","EstimateTotal125000to149999","MarginofErrorTotal125000to149999","EstimateTotal150000to199999","MarginofErrorTotal150000to199999","EstimateTotal200000ormore","MarginofErrorTotal200000ormore","EstimateTotalLessthan15000","PercentLessthan15000"
"Allegheny Center",1,870,93,147,57,115,54,30,21,56,33,39,32,84,50,16,14,9,10,81,41,68,32,68,38,73,39,26,18,25,25,12,17,21,21,262,30.1149425287356
"Allegheny West",2,146,36,0,10,3,7,4,6,15,10,20,15,12,16,0,10,16,13,4,6,7,10,4,8,11,10,20,17,0,10,9,13,21,24,3,2.05479452054794
"Allentown",3,1069,132.457540367,190,82.1340367936,78,42.8252262107,78,80.3056660517,117,73.6070648783,79,64.5445582524,64,49.2341345003,93,47.6759897643,82,66.9626761711,44,36.9864840178,57,42.8135492572,103,50.2493781056,36,32.0156211872,31,42.9418211072,14,27.8567765544,0,17.3205080757,3,16.2480768093,268,25.0701590271282
"Arlington",4,701,104.465305245,70,42.4970587218,35,26.8700576851,56,29.0860791445,35,24.289915603,32,32.5729949498,53,28.6530975638,41,22.1133443875,41,35.80502758,28,27.440845468,66,36.2491379208,65,35.2845575287,141,54.2125446737,23,17.8044938147,6,16.2480768093,7,17.3205080757,2,15,105,14.9786019971469
"Arlington Heights",5,144,59,48,42,23,27,43,52,0,10,8,12,17,22,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,71,49.3055555555556
"Banksville",6,1946,229.222599235,51,43.5889894354,72,75.8221603491,155,83.048178788,45,44.1021541424,49,43.0464865001,176,124.120908795,140,104.211323761,82,59.7829407105,45,40.1123422403,201,91.0823802939,284,136.926987844,251,108.189648303,126,71.337227308,156,91.2852671574,64,45.44227107,49,53.310411741,123,6.32065775950668
"Bedford Dwellings",7,723,53,307,75,129,50,91,48,60,32,77,55,22,22,23,22,0,10,0,10,10,12,4,6,0,10,0,10,0,10,0,10,0,10,436,60.3042876901798
"Beechview",8,3567,258.027130357,269,102.547549946,136,64.8228354824,244,100.064978889,241,94.7048045245,339,119.678736624,167,83.4266144584,221,91.673333091,306,120.710397233,138,59.3801313572,309,99.2018144995,328,102.244804269,427,114.01754251,279,102.990290805,87,50.1896403654,45,40.5832477754,31,36.2491379208,405,11.354079058032
"Beltzhoover",9,848,156.057681644,132,88.1476034841,182,95.5196314901,63,44.4409720866,23,26.3248931622,94,54.6443043693,62,43.5315977194,28,35.1710107902,50,43.0929228528,24,27.6043474836,90,66.0075753228,35,38.5875627632,43,36.9459064039,7,20.5182845286,0,20,15,23.1948270095,0,20,314,37.0283018867925
"Bloomfield",10,4571,205.494525475,521,117.940663047,261,69.9070811864,297,81.1110350076,258,76.3282385492,276,75.5314504031,368,93.2898708328,168,57.7408001329,328,91.5423399307,216,59.9082632031,441,107.424392016,362,98.9343216482,519,103.754517974,168,55.488737596,155,63.8983567864,125,55.8659108937,108,46.9254728265,782,17.1078538612995
