"Neighborhood","Id","EstimateTotal","EstimateTotalLowerthanHighSchoolDiploma","PercentTotalLowerthanHighSchoolDiploma"
"Allegheny Center",1,1002,67,6.68662674650699
"Allegheny West",2,293,15,5.11945392491468
"Allentown",3,1577,155,9.8287888395688
"Arlington",4,1296,171,13.1944444444444
"Arlington Heights",5,121,54,44.6280991735537
"Banksville",6,3244,236,7.27496917385943
"Bedford Dwellings",7,740,119,16.0810810810811
"Beechview",8,5905,594,10.0592718035563
"Beltzhoover",9,1173,191,16.2830349531117
"Bloomfield",10,6612,302,4.56745311554749
"Bluff",11,2168,382,17.619926199262
"Bon Air",12,603,24,3.98009950248756
"Brighton Heights",13,5384,413,7.67087667161961
"Brookline",14,9648,843,8.73756218905473
"California-Kirkbride",15,499,87,17.434869739479
"Carrick",16,7337,970,13.2206623960747
"Central Business District",17,2312,56,2.42214532871972
"Central Lawrenceville",18,3962,412,10.3987884906613
"Central Northside",19,2209,227,10.2761430511544
"Central Oakland",20,957,121,12.6436781609195
"Chartiers City",21,443,63,14.2212189616253
"Chateau",22,3,0,0
"Crafton Heights",23,2594,190,7.32459521973786
"Crawford-Roberts",24,1545,254,16.4401294498382
"Duquesne Heights",25,2034,119,5.85054080629302
"East Allegheny",26,1803,287,15.9179145867998
"East Carnegie",27,448,29,6.47321428571429
"East Hills",28,1882,214,11.3708820403826
"East Liberty",29,3912,410,10.480572597137
"Elliott",30,1514,151,9.97357992073976
"Esplen",31,252,17,6.74603174603175
"Fairywood",32,828,52,6.28019323671498
"Fineview",33,903,92,10.188261351052
"Friendship",34,1483,35,2.36008091706001
"Garfield",35,2571,256,9.95721509140412
"Glen Hazel",36,510,146,28.6274509803922
"Greenfield",37,5757,260,4.51624109779399
"Hays",38,306,25,8.16993464052288
"Hazelwood",39,3002,363,12.0919387075283
"Highland Park",40,4727,131,2.77131372963825
"Homewood North",41,1783,218,12.2265844083006
"Homewood South",42,1423,280,19.6767392832045
"Homewood West",43,667,135,20.23988005997
"Knoxville",44,2478,368,14.8506860371267
"Larimer",45,1111,175,15.7515751575158
"Lincoln Place",46,2621,213,8.1266692102251
"Lincoln-Lemington-Belmar",47,3305,405,12.2541603630862
"Lower Lawrenceville",48,1936,168,8.67768595041322
"Manchester",49,1516,99,6.53034300791557
"Marshall-Shadeland",50,4275,790,18.4795321637427
"Middle Hill",51,1351,311,23.019985196151
"Morningside",52,2546,241,9.46582875098193
"Mount Oliver Borough",53,2079,421,20.2501202501202
"Mount Washington",54,6490,448,6.90292758089368
"Mt. Oliver",55,453,27,5.96026490066225
"New Homestead",56,703,74,10.5263157894737
"North Oakland",57,2793,158,5.65699964196205
"North Shore",58,171,0,0
"Northview Heights",59,620,178,28.7096774193548
"Oakwood",60,852,95,11.150234741784
"Overbrook",61,2828,264,9.33521923620934
"Perry North",62,2798,275,9.82844889206576
"Perry South",63,2277,227,9.96925779534475
"Point Breeze",64,4117,76,1.84600437211562
"Point Breeze North",65,1451,14,0.964851826326671
"Polish Hill",66,1093,83,7.59377859103385
"Regent Square",67,798,0,0
"Ridgemont",68,270,34,12.5925925925926
"Shadyside",69,9561,248,2.59387093400272
"Sheraden",70,3590,395,11.0027855153203
"South Oakland",71,1190,133,11.1764705882353
"South Shore",72,8,0,0
"South Side Flats",73,3984,148,3.714859437751
"South Side Slopes",74,3015,258,8.55721393034826
"Spring Garden",75,656,172,26.219512195122
"Spring Hill-City View",76,1566,188,12.0051085568327
"Squirrel Hill North",77,5321,90,1.69141138883668
"Squirrel Hill South",78,11601,429,3.69795707266615
"St. Clair",79,153,11,7.18954248366013
"Stanton Heights",80,3556,267,7.50843644544432
"Strip District",81,684,0,0
"Summer Hill",82,909,74,8.14081408140814
"Swisshelm Park",83,1019,85,8.34151128557409
"Terrace Village",84,801,169,21.0986267166042
"Troy Hill",85,1790,84,4.6927374301676
"Upper Hill",86,1491,69,4.62776659959759
"Upper Lawrenceville",87,1993,215,10.7877571500251
"West End",88,91,0,0
"West Oakland",89,850,79,9.29411764705882
"Westwood",90,2539,340,13.391098857818
"Windgap",91,1066,87,8.16135084427767
